customerid,age,gender,citytier,annualincome,occupation,creditscore,avgmonthlyspend,savingsrate,investmentamountlastyear,pastinvestments,riskflags
67,44.0,M,1,1505808.867593404,Salaried,650.3176918521729,10000.0,0.08610906057596769,67841.03573191137,None,3.0
68,37.0,F,2,462951.87785517937,Business,850.0,10000.0,0.4011501792950544,1197546.6601137153,MF,3.0
69,33.0,F,3,592360.5837636701,Salaried,784.0,10000.0,0.210664971504981,298703.1344720897,Insurance,4.0
70,33.0,M,1,1146060.04854797,Self-employed,702.2484566416266,19112.66501955361,0.13899781145444437,349884.86941176496,MF,1.0
71,43.0,M,1,1122050.0431653082,Self-employed,671.5431899746306,10000.0,0.27961530218158537,165816.1262050408,MF,1.0
72,44.0,F,2,607175.7031097325,Self-employed,619.0,10000.0,0.5,606827.6714461314,MF,1.0
73,37.0,M,2,1540721.3913344531,Salaried,850.0,10000.0,0.05,32802.91640612662,Insurance,1.0
74,28.0,M,2,2291551.371612273,Business,665.0,10000.0,0.3002304694421408,424746.3268471034,Insurance,1.0
75,30.0,F,2,2439869.945722811,Self-employed,828.5309531001192,10000.0,0.17251905075745597,1226961.5757450506,MF_Stocks,1.0
76,39.0,F,1,653091.7691212734,Salaried,828.7050024073595,10000.0,0.18779178518850345,682684.8153722446,Insurance,3.0
77,42.0,M,3,1129334.2555175128,Salaried,813.0,10000.0,0.3147495311527411,163175.10132110017,None,1.0
78,49.0,F,2,2257933.7553980574,Self-employed,633.9393406529152,29194.449404622923,0.15925187628273957,643662.3916291613,None,1.0
79,48.0,M,2,1774813.459738459,Salaried,775.0,10000.0,0.3845315469790628,128809.69799990575,None,1.0
80,48.0,F,2,2338047.0112731312,Salaried,840.0821928808975,10000.0,0.05,714375.72348256,MF,3.0
81,35.0,M,2,980053.1666738883,Salaried,673.0,27912.168536779445,0.3492881623177617,281813.225607381,Stocks,1.0
82,39.0,F,2,1725025.8356751013,Business,702.0,10000.0,0.15126518218420268,107995.668125538,Insurance,0.0
83,42.0,F,3,400098.792043565,Salaried,719.3712721647628,10000.0,0.42703260037643603,32320.42155664488,MF,1.0
84,32.0,F,1,3570623.3926522294,Salaried,690.7429347630716,31643.718422688155,0.2643210442390694,554409.0737387781,None,1.0
85,31.0,M,3,981659.5369958198,Self-employed,713.0,10000.0,0.05365913001948174,536278.128773262,None,2.0
86,39.0,F,2,1653005.8546242963,Salaried,695.0,10000.0,0.4582312544991845,1832895.5718746781,MF_Stocks,2.0
87,29.0,F,3,529149.7808030506,Business,776.9877084065819,10000.0,0.2589863111620802,310670.7627385723,MF_Stocks,4.0
88,46.0,F,1,1080061.6319715146,Salaried,813.0,10957.071397523241,0.06954362697723392,263911.6191549874,MF_Stocks,4.0
89,44.0,M,2,995685.5641972341,Salaried,558.1586120340961,10000.0,0.15555383222715735,170844.12663137395,MF,4.0
90,37.0,F,1,2174082.815286346,Business,603.0,10000.0,0.5,299180.0447037548,None,1.0
91,43.0,M,2,2606454.8784140297,Salaried,774.9576874112203,68133.48193720425,0.23839205151659537,190508.1179804312,Insurance,1.0
92,44.0,M,2,2305356.3845937145,Salaried,726.0,10000.0,0.30000004485818826,24491.3759062799,MF_Stocks,0.0
93,40.0,M,3,3227950.0793795493,Business,768.4367964969799,10000.0,0.25637302516873295,2000000.0,Insurance,1.0
94,34.0,F,3,930556.5105617653,Self-employed,750.0,10000.0,0.14220686996995519,1072227.684207821,None,0.0
95,45.0,M,1,4156624.1921994705,Salaried,593.111848107446,77546.9050141789,0.13870743877041905,1195475.3620547836,None,2.0
96,33.0,M,2,2466517.728273021,Business,631.8733621209606,35909.321840131335,0.17218827042224702,652009.3468980764,Stocks,2.0
97,30.0,M,3,1756916.8867185172,Salaried,823.0,10000.0,0.3492415083952675,193841.4310175536,MF_Stocks,1.0
98,41.0,M,2,1794217.5985258436,Salaried,739.6360295852851,10000.0,0.45629779861390746,36702.676422655866,None,1.0
99,40.0,M,2,455421.7441705384,Salaried,616.0,10000.0,0.5,253340.40248882346,Insurance,1.0
100,30.0,F,2,924126.9159493421,Salaried,724.0,10000.0,0.5,85742.89418338581,Stocks,1.0
101,44.0,O,2,747380.6801284844,Salaried,716.0,58777.15418506136,0.3014527288586442,66841.72003512089,Insurance,0.0
102,52.38786189247074,M,2,1351503.3408304635,Salaried,621.841239002487,10000.0,0.25875092392746624,761095.4688001898,None,1.0
103,30.0,F,3,1778813.8847439964,Salaried,649.0,10000.0,0.3827513061669396,161435.20370448474,None,2.0
104,54.0,F,2,1656119.8367179632,Salaried,619.0,10000.0,0.323223939680374,797422.5118918334,MF,1.0
105,32.0,F,1,998787.5321814275,Self-employed,668.0,10000.0,0.5,517788.28723542916,Insurance,1.0
106,33.0,F,2,1660703.2721081672,Self-employed,822.4273767480933,10000.0,0.21487682649446732,59226.28094906029,MF_Stocks,0.0
107,32.0,M,1,1087924.8838177708,Salaried,813.7978734760263,14195.176485152559,0.2595964476525615,185617.29517413938,Insurance,0.0
108,52.0,M,2,1689837.7630859253,Self-employed,713.0,21328.710899954476,0.3071919614756469,914615.6052167087,MF,0.0
109,34.28706783866758,F,2,1668684.8569314063,Salaried,850.0,10000.0,0.46829335946416945,708489.763980367,MF_Stocks,1.0
110,44.0,F,3,2322610.124906832,Salaried,850.0,10000.0,0.1953698601707414,207529.89576445412,None,3.0
111,32.0,F,3,800755.7246264779,Business,738.0,10000.0,0.2784526195909971,22552.06456926791,None,0.0
112,32.0,F,3,1618112.8622458286,Self-employed,648.0,27792.606702490128,0.23690340520590478,228520.2867324635,MF_Stocks,1.0
113,54.0,M,2,877149.3401459898,Self-employed,678.0,10000.0,0.5,124964.0329367887,MF_Stocks,4.0
114,45.0,M,3,2401240.338161498,Salaried,629.0,22878.677245366343,0.25483284181129146,303994.3113338028,Stocks,2.0
115,28.0,M,2,722212.7596988111,Business,674.5109926062445,10000.0,0.3259043368476374,190709.0314193275,Insurance,4.0
116,50.0,M,1,768673.7302529527,Salaried,725.6744380817474,24529.20887678871,0.43225596327115995,232780.51180498223,MF,2.0
117,47.0,O,3,700238.0126381733,Business,690.0,10000.0,0.32936381720587443,127028.96120203973,None,0.0
118,43.0,M,2,3439717.7933679847,Business,771.1907815584638,25089.47629762676,0.23031616378606906,229197.95935770692,MF_Stocks,3.0
119,30.0,F,3,1399713.2136296565,Salaried,446.25594726504727,10000.0,0.4214630905918875,198232.0237579802,Insurance,3.0
120,32.0,F,3,1017435.4350138546,Self-employed,657.0,10000.0,0.12810121471215655,161638.25102878376,None,1.0
121,32.0,F,3,2386108.4874154762,Salaried,799.3831570000431,10000.0,0.3014084343952772,1444882.3697155274,Stocks,4.0
122,30.0,M,2,1745614.1624966522,Self-employed,713.0,10000.0,0.1773804825907556,163104.36305890893,MF_Stocks,5.0
123,35.0,M,1,1927476.9562863065,Business,661.0,10000.0,0.34683231496983385,88705.6687533038,Insurance,1.0
124,38.0,M,2,826988.3994446695,Business,769.9427516226135,18162.777622158177,0.13303104800570598,186522.15514487456,Insurance,2.0
125,30.0,F,2,2164262.24889394,Self-employed,636.0,12973.578272199631,0.32896063217738875,126462.06004069137,Stocks,1.0
126,48.0,M,2,1179401.1745063348,Salaried,692.0,10000.0,0.33974584085682535,322036.6895392412,MF,0.0
127,32.0,M,3,487884.0453154049,Business,825.0,10000.0,0.5,11971.078841779175,Insurance,2.0
128,41.0,M,3,1598215.5426341675,Salaried,634.0,10000.0,0.2878970490246299,256010.83594080902,Stocks,4.0
129,49.0,M,3,1230254.4425628819,Salaried,722.0,10000.0,0.31282610153152607,8745.027181629746,Stocks,2.0
130,47.0,F,3,6000000.0,Self-employed,677.0,10000.0,0.3067048906973767,221411.1378607175,None,3.0
131,29.0,F,3,2276602.4633529345,Business,782.0,10000.0,0.08750292261266257,498717.21699142264,Stocks,1.0
132,33.0,M,2,770845.474316652,Self-employed,850.0,10000.0,0.09606863412643811,64073.27119174552,MF_Stocks,0.0
133,32.0,M,1,1150809.1302377358,Salaried,748.0995571931575,22943.584771182686,0.5,182372.82354219418,Insurance,2.0
134,62.0,M,1,1347742.217266926,Self-employed,635.0,20351.82019209455,0.19732716516609172,322665.5509528704,MF_Stocks,2.0
135,30.0,M,1,916234.3226146131,Salaried,825.0,10000.0,0.1062479649726424,307895.76616810024,MF_Stocks,1.0
136,41.0,F,1,1169620.3170686113,Salaried,688.0,10000.0,0.24846406250938127,525651.213537499,Stocks,1.0
137,45.0,F,2,1838502.4285329457,Salaried,850.0,10000.0,0.5,25738.503497409492,Insurance,0.0
138,49.0,M,2,3167862.1523079807,Salaried,732.0,33426.911034126126,0.5,184963.6545375794,MF,2.0
139,54.86928189387355,F,3,1555385.9321726083,Salaried,730.653736240223,10000.0,0.28902456859131925,301625.49112310115,MF,2.0
140,53.0,O,3,1936744.49415166,Self-employed,639.6044469685027,10000.0,0.4316183823562977,30130.002787710822,Insurance,2.0
141,47.0,M,3,1383457.4218678216,Salaried,735.0,10000.0,0.4166412415245513,71877.5307485676,MF_Stocks,2.0
142,33.0,F,3,1913673.2790502494,Salaried,625.771780396978,10000.0,0.14187362674424994,29023.881055402187,MF_Stocks,1.0
143,29.0,O,1,775465.5096675628,Salaried,736.0,10000.0,0.3341552642817812,213787.79635093795,Stocks,4.0
144,35.308066112795885,F,2,916121.4946558329,Business,726.0,10000.0,0.3178744218986093,465197.92348057276,MF,1.0
145,35.0,F,2,453027.5785980746,Self-employed,632.0,10000.0,0.2921459273663483,385985.9534840039,Stocks,0.0
146,28.0,F,2,1482597.0906100743,Business,786.0124007073096,27052.340304607795,0.35974604792017434,623714.337101757,MF_Stocks,3.0
147,31.0,F,2,505427.886867978,Self-employed,724.6734815821948,10000.0,0.5,225773.5275763212,None,1.0
148,53.80165789866988,F,3,894517.3962930428,Salaried,661.0,10000.0,0.253324806851795,191706.43864418913,MF,1.0
149,30.0,M,2,3454699.1356074307,Business,691.0,10000.0,0.05,292749.14954729326,MF,1.0
150,50.0,F,1,1754364.9079485696,Salaried,674.0,10000.0,0.494270578148638,604565.7393623021,Insurance,0.0
151,49.0,F,2,969526.5625802986,Self-employed,820.896574813841,10000.0,0.4056931789737062,333490.68956378975,MF_Stocks,2.0
152,52.0,O,1,2064612.1536704272,Salaried,850.0,43818.57695146078,0.3949390654259177,331490.51715536753,MF_Stocks,0.0
153,29.0,F,2,2530615.002217451,Self-employed,667.0,10000.0,0.13217408589738036,90133.66042272146,Stocks,0.0
154,43.95080458044647,M,2,2364701.4029862923,Self-employed,692.0,54662.52183382121,0.25920644152914835,32737.181944695927,Insurance,3.0
155,53.0,M,1,1133102.578280069,Salaried,712.3654598587503,10000.0,0.5,520915.59889408003,Insurance,1.0
156,36.0,M,1,2123894.8773117135,Self-employed,667.0,49504.0362734193,0.5,591412.805846963,MF,1.0
157,39.0,M,1,856208.8766558481,Salaried,644.0,18296.00730786006,0.5,28705.776951527743,None,4.0
158,45.0,M,2,1937525.9533295701,Salaried,660.0121196268545,48763.440306607146,0.42093919856948503,836061.4421019229,None,0.0
159,49.0,F,2,2167562.164410347,Business,620.0,82333.71934716556,0.5,2000000.0,None,1.0
160,47.0,M,3,2474572.2068941467,Self-employed,632.0,57668.38707190119,0.24693201415038368,340119.3270959069,Insurance,2.0
161,42.0,M,3,1369380.9375963204,Salaried,850.0,10000.0,0.08996746143486542,588697.2038608103,None,2.0
162,32.0,M,2,690563.3810756495,Business,710.0,10000.0,0.1393423694618929,56518.781247742256,MF_Stocks,3.0
163,35.0,M,3,1790035.0177121623,Salaried,692.6636392898183,10000.0,0.41963052389356914,53741.17332756732,Insurance,3.0
164,33.0,M,1,1089597.3809888882,Salaried,692.0,17287.82833051322,0.3353283577787985,801976.6364546397,MF_Stocks,0.0
165,42.0,M,2,1037443.4450690462,Salaried,561.6353872580152,10000.0,0.4384569399461112,75304.1839199288,Insurance,3.0
166,51.0,F,3,487406.2275071884,Business,770.0,10000.0,0.14409750697458026,30648.410470945004,Insurance,3.0
167,33.0,O,2,802193.8431087218,Salaried,738.0,10000.0,0.12186061654514387,13125.635994459508,Insurance,1.0
168,40.0,M,2,1870306.864710022,Business,634.0,10000.0,0.05720051771597242,169320.16890112497,Insurance,1.0
169,55.0,M,3,701464.8221362302,Business,725.0,10000.0,0.09714949142005355,94711.84611087466,Insurance,1.0
170,36.0,F,3,3089455.3976535853,Business,575.548375871875,75420.85138193608,0.2579919002265867,251087.13114967183,Insurance,1.0
171,37.0,M,2,444333.66384653945,Self-employed,724.1145083711137,10000.0,0.5,55931.90099928368,None,5.0
172,39.0,M,1,2726775.171928686,Self-employed,782.1244768872706,40374.90252326656,0.1354623107137079,884406.1019738176,None,1.0
173,43.0,F,1,1747305.8517929018,Salaried,561.6177702656815,57159.15386332873,0.42826418667125654,104797.07360085442,Insurance,2.0
174,33.0,F,2,1170811.3917404655,Self-employed,647.0,10000.0,0.14886601402393831,841584.3408342487,None,2.0
175,36.0,M,3,3479981.1500704815,Salaried,646.1576342784122,10000.0,0.23137874651952292,520693.700250605,Insurance,2.0
176,35.0,M,1,2867494.0424818583,Salaried,663.0,26340.872896391986,0.5,1166108.0323118689,MF,1.0
177,41.0,M,2,810058.8218758063,Self-employed,756.2720612199591,10000.0,0.5,4317.82100463739,MF,2.0
178,41.0,M,1,1652748.6998525707,Salaried,803.9881833007868,10000.0,0.24361023917591187,556674.4701622089,MF,0.0
179,47.0,M,1,1457921.244352956,Salaried,624.0,10000.0,0.5,233747.29672040252,MF_Stocks,2.0
180,40.0,F,3,3180885.0291229994,Salaried,801.1362121550247,10000.0,0.5,130595.69853751274,None,0.0
181,32.0,M,2,2147067.0759814465,Salaried,649.0,10000.0,0.18100003061746517,631874.5679249997,Stocks,3.0
182,29.0,F,1,1195282.1007713445,Salaried,627.460862923995,10000.0,0.23416140088076298,2642.396559375485,Stocks,2.0
183,54.0,F,2,1911512.4056509447,Salaried,679.8038508778287,26033.333194571984,0.2687158306091551,864056.0603585464,Insurance,4.0
184,48.0,F,2,2012799.460476804,Business,651.0,76392.77185529443,0.1561368072812628,1042865.7475332303,MF_Stocks,0.0
185,38.0,M,2,539587.4716540031,Self-employed,630.0,10000.0,0.34266436726898564,32154.606851131754,Insurance,0.0
186,41.0,M,2,593705.852753559,Salaried,849.0,10000.0,0.22919222481612106,99104.0998768587,None,2.0
187,49.0,F,2,2449121.827316491,Self-employed,631.3757542815782,41542.942930127596,0.24899875618329698,491249.89340024116,Insurance,0.0
188,50.0,M,1,1333658.1098928328,Salaried,746.0,10625.322389353561,0.24614201824309917,419845.9763369592,MF,1.0
189,46.0,F,2,592322.111633787,Business,744.399652183033,16637.03868365988,0.2430521884986878,55308.88596341043,Stocks,3.0
190,46.0,F,1,3258306.640530975,Salaried,798.2247969618429,10000.0,0.49719032882893976,7333.458170366717,Insurance,2.0
191,43.0,O,3,4352794.6791228,Business,797.5515524711614,60438.02862954829,0.5,462327.44373214483,Insurance,0.0
192,29.0,F,3,1283560.611662151,Business,595.0,10000.0,0.17185343378082066,42864.030885470675,Stocks,1.0
193,38.0,M,2,2666314.9133558613,Self-employed,850.0,90476.06141485342,0.08238489797979874,745219.9368350359,MF,2.0
194,31.0,M,2,635595.4115069663,Self-employed,830.0,10000.0,0.46479773736770696,121374.58185197349,Insurance,1.0
195,33.0,M,2,1108074.2638435806,Salaried,736.0,10000.0,0.05,184875.96143134893,Stocks,0.0
196,30.0,F,3,839395.2496702604,Business,804.0,10000.0,0.3650635463714383,607552.7694673577,None,1.0
197,30.0,F,2,635998.2351003279,Self-employed,751.7724118336652,10000.0,0.5,86223.09731161053,MF,3.0
198,60.0,M,2,1932304.8452010385,Salaried,729.189730191735,10000.0,0.5,141628.8139864238,MF,5.0
199,30.0,F,3,940540.1803318328,Business,830.0,15238.708719879194,0.31383423082840667,226261.00115376725,MF_Stocks,0.0
200,47.0,O,2,1889152.9290798167,Salaried,781.0,10000.0,0.11604775324909887,218099.64690365095,MF_Stocks,1.0
201,35.0,O,3,864385.5572401186,Salaried,579.0,10000.0,0.25121816761439614,458535.5438276124,None,0.0
202,42.0,M,1,1027313.6279582203,Self-employed,655.2856687065827,10000.0,0.5,387914.5109335205,Insurance,2.0
203,41.0,M,1,2343064.9716652064,Salaried,739.9876202571448,10000.0,0.40266064234839083,403459.1981844445,Insurance,5.0
204,43.0,M,1,947572.4646171797,Self-employed,638.0,16727.382851111237,0.3579827555046607,120578.1202282072,Insurance,2.0
205,37.0,M,1,1903052.4424044122,Salaried,776.9960461601906,14791.847196421377,0.05,205958.4868597166,Stocks,1.0
206,42.0,M,3,1092321.8051611902,Business,759.035310799268,55634.89501305985,0.22602789991754757,127014.07641882001,Insurance,1.0
207,40.0,M,1,822681.3445458942,Salaried,813.4817883672379,10000.0,0.2800618919143563,498021.52962413616,MF_Stocks,2.0
208,40.0,M,2,6000000.0,Salaried,721.0,10000.0,0.08217762007492205,15547.229891548332,Insurance,0.0
209,45.0,M,2,1328874.0187651596,Salaried,679.0,10000.0,0.17579945848259929,259277.02354680345,Insurance,0.0
210,37.0,F,1,1165961.4076808135,Self-employed,675.6316189154975,10000.0,0.17247389943211805,444460.53537067206,MF,1.0
211,47.0,O,1,2434449.2859200723,Salaried,629.0,14902.619556932434,0.3936555788867975,402916.35665621824,MF,4.0
212,59.0,F,2,1686339.1743873619,Salaried,700.4057688520356,10000.0,0.5,340720.2394246272,MF_Stocks,3.0
213,40.0,F,3,3390151.7883308707,Self-employed,769.5613324367927,10000.0,0.29982884601616494,504794.4313156313,Stocks,0.0
214,39.0,M,1,1500774.8465883138,Salaried,775.0,43384.37256738998,0.2863383753875165,474824.9563332488,None,2.0
215,30.0,F,3,1299533.4458526399,Business,817.0,10000.0,0.3169016133788681,25521.315890941758,Stocks,3.0
216,30.0,F,2,467327.5402724479,Business,653.0,10000.0,0.3626240231593886,251495.66254082855,Insurance,3.0
217,43.0,F,3,1495627.5743123435,Self-employed,542.0720104789254,10000.0,0.1692297906836109,270958.45578147104,MF_Stocks,2.0
218,44.0,F,2,2596467.8015896585,Self-employed,850.0,10000.0,0.1050148864084064,31146.012422195407,MF,3.0
219,39.0,M,2,852326.352723772,Business,697.0,21296.150962476862,0.08925487743823937,17553.713591254567,Stocks,4.0
220,29.0,M,2,1414426.6657591348,Self-employed,730.5768023383629,10000.0,0.5,66081.10789742872,None,2.0
221,47.0,O,1,2757420.3861757494,Salaried,694.0341828700693,10000.0,0.07414466512778861,189611.79785805545,Insurance,0.0
222,37.0,M,1,2229397.6626394414,Salaried,586.0,10000.0,0.19147026803716594,444629.4736826286,None,1.0
223,33.0,F,3,1783231.6161630857,Salaried,657.0,10000.0,0.4481714431051532,75143.84574453157,None,1.0
224,56.0,M,2,961915.7063141734,Salaried,742.0,10000.0,0.21740429579535905,31490.52976266939,MF,1.0
225,38.0,F,2,475298.43164359423,Business,778.0,10000.0,0.33211111118400205,118375.40500125666,Stocks,1.0
226,43.0,O,2,1426652.881394531,Salaried,619.0,10000.0,0.13900353959458572,540415.0876404174,MF,4.0
227,35.0,F,3,1056904.7214404535,Salaried,745.0,10000.0,0.5,97867.11699018496,None,1.0
228,50.927836500487295,M,1,3453097.637545059,Business,850.0,14204.297370879178,0.12843477750928717,349704.4318984265,Insurance,1.0
229,41.0,M,1,841165.0909251985,Salaried,754.1691401934676,25084.11911653312,0.3186117819369892,1468274.9031935234,MF_Stocks,0.0
230,34.0,F,2,2955582.2207108047,Business,795.0,55543.60681537631,0.5,2242.24023245981,Stocks,1.0
231,30.0,F,2,1360586.6416985267,Business,717.0,17514.871395601436,0.17264156111031345,558535.2837760021,MF_Stocks,1.0
232,47.0,M,2,2886017.9399885293,Self-employed,734.7044929567454,10000.0,0.14389010193208285,240125.12816685395,MF_Stocks,0.0
233,32.0,M,3,1463605.4671798416,Salaried,787.9568227405042,10000.0,0.2720349789825876,301253.9171258188,Stocks,0.0
