customerid,age,gender,citytier,annualincome,occupation,creditscore,avgmonthlyspend,savingsrate,investmentamountlastyear,pastinvestments,riskflags
97,42,F,2,1331480,Self-employed,470,10000,0.15170267814068114,90207,Stocks,2
98,40,F,2,1889251,Salaried,684,10000,0.05,346140,Stocks,2
99,28,M,3,1648600,Salaried,695,14204,0.1546279352288038,98225,Stocks,2
100,31,M,1,1780710,Self-employed,850,52788,0.5,331795,None,2
101,29,F,3,1020082,Self-employed,702,10000,0.442619966781939,372183,None,4
102,45,F,1,432026,Salaried,793,10000,0.1936945362087342,104435,Insurance,1
103,37,F,2,813205,Salaried,657,10000,0.22912982138695004,71433,MF_Stocks,1
104,42,M,1,2308929,Salaried,829,41259,0.4699708510430974,696230,MF,1
105,55,F,2,1512667,Salaried,605,10000,0.5,163851,None,3
106,35,M,1,1202117,Salaried,750,10000,0.3811719084242585,83151,Insurance,0
107,39,M,3,945416,Self-employed,784,10000,0.14545646219175434,101924,MF_Stocks,1
108,49,M,3,1966742,Salaried,769,10000,0.3114564757260134,337861,Insurance,0
109,35,M,2,777315,Salaried,850,10000,0.3295775110209374,257903,MF,1
110,30,M,2,815927,Salaried,641,10000,0.1001345440313196,859699,Insurance,3
111,36,M,3,1370963,Self-employed,841,10000,0.19690269634813823,1433377,Insurance,1
112,33,M,3,2235900,Salaried,815,10000,0.4623926515186212,697275,Stocks,2
113,56,F,2,2326668,Salaried,704,10000,0.13092703878524345,40568,MF,0
114,50,M,3,2692238,Salaried,850,15780,0.39432607439818407,542281,None,4
115,45,M,2,596881,Self-employed,685,10000,0.050116540405136425,31075,MF,1
116,53,M,2,1630743,Salaried,702,10000,0.296401475471839,167302,Stocks,1
117,50,M,2,1425113,Salaried,699,27095,0.31042296406609104,273519,MF_Stocks,1
118,34,F,2,568159,Salaried,572,10000,0.22402814861592898,56191,MF,1
119,54,M,1,1363111,Salaried,776,10000,0.2778833701283415,524618,MF_Stocks,3
120,43,F,2,1312579,Salaried,760,10000,0.16315824200760806,12850,Insurance,0
121,50,M,2,2179806,Salaried,689,10000,0.12497410404297106,272753,None,0
122,54,M,3,2044087,Salaried,850,10010,0.2236688918634138,651474,None,1
123,37,F,3,1263393,Self-employed,656,10000,0.0695454388226435,1266680,MF_Stocks,0
124,31,F,2,2424369,Salaried,527,10000,0.5,487727,MF,4
125,35,M,2,378718,Self-employed,850,10000,0.08375656222501378,175576,MF,1
126,40,F,1,1148316,Salaried,801,14102,0.10523671472180747,194095,MF_Stocks,0
127,51,M,2,560639,Business,762,10000,0.5,1064906,None,1
128,53,F,1,774561,Business,666,10000,0.24670715066866694,425046,Insurance,1
129,28,F,1,1451210,Self-employed,734,10000,0.21512096910513984,372436,None,3
130,42,F,2,704948,Business,573,10000,0.06416639800114152,136180,MF_Stocks,1
131,40,O,2,634936,Salaried,677,10000,0.44219744247594545,421240,MF_Stocks,1
132,35,M,1,4749380,Self-employed,609,10000,0.17662288274125046,1353364,None,1
133,32,F,3,752356,Salaried,726,10000,0.31181042238951595,420167,MF_Stocks,3
134,38,M,2,3955863,Self-employed,792,57557,0.5,600588,MF_Stocks,2
135,57,M,1,1247842,Salaried,595,10000,0.1503490096772508,183215,MF_Stocks,0
136,37,M,1,846564,Salaried,772,10000,0.33004202055366433,773536,None,0
137,42,M,1,1708310,Business,719,10000,0.5,781199,MF,2
138,47,F,1,2835942,Salaried,768,10000,0.3885610225925331,549636,MF_Stocks,3
139,38,F,3,888786,Self-employed,675,10000,0.26000839381097784,497079,None,1
140,60,F,2,1263154,Self-employed,770,10000,0.07821173322633171,28232,MF,1
141,59,M,3,3328944,Salaried,630,28561,0.5,407743,MF_Stocks,2
142,35,M,1,1352079,Salaried,531,10000,0.32799389666376394,134191,MF,1
143,41,F,2,2911366,Salaried,554,12670,0.5,1555823,MF,0
144,37,M,2,1986372,Business,649,39659,0.3104272685474125,315152,Stocks,0
145,36,F,2,4282235,Business,538,10000,0.313483444074067,675367,Stocks,3
146,29,F,2,1523561,Self-employed,850,10000,0.4352525640920738,44105,None,2
147,44,F,3,2096146,Self-employed,691,11612,0.16368257890681046,487508,Insurance,4
148,42,M,1,1474716,Salaried,791,28192,0.2981011135266761,234346,MF_Stocks,1
149,29,F,2,1256592,Salaried,778,13551,0.4279886079935505,52623,Insurance,3
150,36,M,3,2903323,Salaried,700,33026,0.4542316311500361,1235841,Stocks,4
151,55,F,1,1569343,Salaried,850,10000,0.0896018835381069,361190,Insurance,1
152,35,M,1,1825319,Salaried,850,10000,0.45661235990443577,1279114,Insurance,1
153,32,M,1,1945647,Salaried,839,27602,0.13445802225410008,343161,MF,1
154,41,M,2,1943605,Self-employed,609,22378,0.17399877952002407,481499,None,5
155,61,F,1,1930154,Salaried,843,10000,0.4324512719718009,208204,MF,2
156,35,M,1,620424,Salaried,525,10475,0.2601679956192314,116639,Insurance,1
157,46,M,2,1120533,Salaried,839,10000,0.3671666348739221,118332,Insurance,1
158,49,M,2,2641506,Self-employed,444,10000,0.2364671346611395,69533,Insurance,0
159,35,F,1,2672530,Salaried,668,10000,0.3627254727940435,55665,Stocks,3
160,48,F,2,493620,Salaried,820,10869,0.08062233685392511,51353,MF_Stocks,3
161,38,F,2,1045158,Self-employed,738,10000,0.05,25306,Insurance,2
162,45,F,3,1872483,Salaried,552,10000,0.3640662612740852,100246,MF,3
163,45,M,2,913245,Salaried,717,10000,0.2609855488771839,41990,MF,2
164,42,M,3,1106533,Self-employed,738,10000,0.15173299900650528,373093,MF_Stocks,4
165,31,F,2,1849778,Salaried,720,51860,0.10003007018677014,282873,None,0
166,52,M,1,3429079,Salaried,659,10000,0.2713155405844834,52097,Insurance,5
167,37,M,2,430912,Salaried,785,10000,0.16394481874910638,27286,Stocks,0
168,34,M,3,1555527,Salaried,814,10000,0.5,26752,None,1
169,29,M,2,1807356,Salaried,684,25022,0.06614006615695364,110518,None,1
170,44,M,3,2930410,Salaried,850,10000,0.5,797862,Stocks,4
171,46,M,3,2249283,Business,684,10000,0.05,891035,MF_Stocks,1
172,28,M,1,3047590,Salaried,651,39468,0.5,1363458,Insurance,1
173,42,M,1,1237108,Salaried,835,10000,0.13845790963517154,53485,None,1
174,35,M,1,2499380,Salaried,832,10000,0.27830201903037777,742258,MF_Stocks,1
175,45,M,2,1050213,Business,637,19166,0.05,32086,Stocks,4
176,33,M,1,1154617,Self-employed,623,10000,0.5,929895,MF,2
177,47,F,3,902589,Salaried,850,10000,0.33218533332532263,117913,Insurance,1
178,39,M,1,2029837,Salaried,689,10000,0.16219828063761985,18253,MF,0
179,57,F,2,1564767,Salaried,700,39386,0.11255603174948,56982,None,4
180,32,F,1,1368325,Salaried,674,10000,0.10272570280649214,620178,Insurance,0
181,38,F,3,1464804,Salaried,832,13758,0.20165529650941205,152803,Insurance,2
182,31,M,2,1977772,Salaried,850,23384,0.0842824670319037,10634,MF,2
183,56,M,3,2499503,Salaried,706,24347,0.2312085520845292,615378,MF,2
184,53,M,3,1065717,Salaried,850,10913,0.4606792665416071,940181,MF_Stocks,2
185,36,F,2,824878,Salaried,644,14467,0.12697404927250588,6869,MF_Stocks,3
186,46,M,1,1239762,Salaried,671,17753,0.16195855964865039,378039,Insurance,3
187,51,F,1,1955699,Salaried,767,42455,0.34771731351544216,443895,MF_Stocks,0
188,43,F,1,3752155,Business,618,24819,0.2376592824130913,6103,MF_Stocks,1
189,42,M,3,2173934,Self-employed,766,10000,0.4576921807051413,429219,None,0
190,35,M,1,2082077,Business,648,10000,0.4784540106104707,90830,None,1
191,31,F,1,415196,Salaried,545,10000,0.25865252137563277,167637,None,4
192,54,M,2,5515811,Salaried,525,10000,0.25275041428572353,549217,MF,1
193,55,M,2,2386962,Self-employed,667,10000,0.3198838087797138,146135,None,2
194,45,F,2,1502381,Salaried,741,28403,0.5,184176,MF_Stocks,3
195,38,M,2,1331183,Salaried,563,10000,0.10780055243060277,519354,Stocks,2
196,38,F,3,909757,Salaried,717,10000,0.44465242857141296,67207,MF_Stocks,2
197,48,F,2,966085,Salaried,718,21132,0.38841493333069166,185431,MF_Stocks,2
198,54,F,1,4247969,Self-employed,683,24975,0.15901296173891316,1247845,Stocks,0
199,54,M,3,1075515,Self-employed,607,10000,0.5,95583,None,1
200,49,M,3,1032606,Business,724,10000,0.25798188410038714,265078,Stocks,2
201,45,M,1,819823,Business,685,10000,0.3391846518310005,623427,MF_Stocks,0
202,31,M,2,677873,Salaried,798,10000,0.38251436294129515,132853,MF,2
203,33,M,2,1426545,Salaried,570,10000,0.31732055978325563,69377,Insurance,1
204,54,M,1,2594842,Salaried,711,10000,0.5,657791,MF,0
205,44,M,3,1272163,Salaried,572,10000,0.20142425091561916,1228469,MF,3
206,28,M,1,464643,Salaried,676,10000,0.17364513948347268,164469,Stocks,4
207,31,F,3,2012835,Salaried,590,40521,0.4441204652156342,127935,Stocks,1
208,46,M,2,1507650,Salaried,608,10000,0.3027777648862822,174942,MF,3
209,28,M,2,2477683,Self-employed,699,10000,0.2516585067233858,63829,Stocks,0
210,33,F,1,848974,Salaried,643,10000,0.22599213331448267,145062,MF,3
211,43,F,1,1049694,Salaried,846,10000,0.07706842854251059,103409,MF_Stocks,0
212,47,M,1,1162647,Salaried,817,12835,0.20832781057783478,234770,MF,1
213,46,M,1,1329740,Self-employed,780,36882,0.1933519989800518,54503,Stocks,1
214,35,F,2,1134556,Self-employed,778,17009,0.2901047660429331,1157206,MF_Stocks,1
215,47,F,3,1339578,Salaried,713,12902,0.2474191713317047,151656,Insurance,1
216,35,F,2,473100,Business,830,10000,0.28253884813421476,85405,MF,0
217,37,F,3,1251272,Salaried,670,22892,0.3643103248019221,2000000,None,2
218,48,M,2,2428813,Self-employed,850,10209,0.5,250890,None,2
219,45,M,3,3074802,Salaried,605,10000,0.18588526395958974,356845,None,0
220,52,M,3,1450595,Salaried,587,35958,0.40677993726955197,590582,MF_Stocks,1
221,46,F,1,2749098,Salaried,560,10000,0.38895513385613834,52901,MF,0
222,43,F,3,1792615,Salaried,577,10000,0.19584538693882966,136547,Stocks,0
223,31,F,2,623383,Business,537,10000,0.08364062135238959,105210,MF_Stocks,0
224,38,M,3,655938,Self-employed,721,10000,0.5,139990,MF,0
225,36,M,2,3005655,Salaried,785,10000,0.0784508626081547,1313828,MF,2
226,35,M,2,1147948,Salaried,703,10000,0.3942022910664287,397936,MF,0
227,60,F,1,684044,Salaried,561,10000,0.0989378045729943,217436,Insurance,1
228,39,F,1,304791,Salaried,653,10000,0.4374003077495893,37177,Insurance,3
229,54,M,2,1300066,Business,784,10000,0.47585274304189956,1166263,MF,1
230,45,M,3,2353594,Salaried,665,10000,0.18404424570920974,1044465,None,1
231,50,M,3,1251485,Salaried,620,10000,0.4295382761810021,199505,Insurance,4
232,42,M,2,804882,Business,548,11007,0.24678364056274976,84283,Insurance,1
233,44,F,3,1319679,Salaried,657,10000,0.09125409476106311,883,None,0
234,41,M,3,3797972,Salaried,629,47194,0.19664215682302097,464538,Stocks,0
235,34,F,1,488299,Salaried,691,10000,0.29084789746378614,6751,MF_Stocks,1
236,48,F,1,872979,Salaried,747,25777,0.2533210540680565,79424,Stocks,1
237,36,F,1,2375219,Salaried,671,64579,0.3011301591145701,130338,Insurance,0
238,28,M,3,2227468,Salaried,718,10000,0.20623073918170928,220459,None,2
239,45,F,3,2055604,Self-employed,747,41581,0.10371063234034258,32430,None,0
240,33,M,1,755716,Self-employed,577,10000,0.1950555545198774,283100,MF_Stocks,0
241,57,M,1,1409225,Self-employed,850,10000,0.14676681093612035,32528,MF,0
242,58,M,3,1442292,Business,625,10000,0.31850440917543166,456408,None,0
243,55,M,3,1169179,Salaried,751,10000,0.05,800307,Insurance,2
244,38,M,3,924694,Salaried,586,10000,0.4972579796448189,155733,Insurance,3
245,28,M,2,2173082,Self-employed,711,10000,0.335072702015507,834813,Insurance,0
246,56,F,1,1323625,Salaried,714,10000,0.5,951223,MF_Stocks,2
247,40,M,2,1801659,Salaried,850,10000,0.1789840399058847,348323,MF,1
248,59,F,1,1540003,Salaried,676,11461,0.3695448998987129,118006,MF_Stocks,1
249,59,F,3,2609307,Self-employed,829,10000,0.05,14161,Insurance,2
250,52,M,2,1395630,Salaried,729,10000,0.18453098224710307,198435,MF_Stocks,3
251,36,F,3,1307359,Salaried,850,13342,0.4452482805087182,54520,MF,3
252,39,M,2,907831,Salaried,521,11943,0.1035199241637572,437881,None,1
253,52,M,3,823872,Self-employed,748,10000,0.18236323252304892,323346,None,1
254,37,M,2,743804,Salaried,432,13353,0.396684476296485,246405,MF,1
255,33,F,2,1135213,Salaried,694,10000,0.2448828957720585,27963,Stocks,3
256,43,M,2,582997,Self-employed,802,10000,0.1357634815455419,152082,None,2
257,57,F,1,603726,Self-employed,844,10000,0.37187225234293125,56405,MF,3
258,47,M,3,3491828,Salaried,773,77933,0.4757609548229116,582185,MF_Stocks,1
259,43,F,2,1745006,Salaried,670,10000,0.48532476345007636,1543445,Stocks,2
260,31,M,2,1060787,Salaried,754,10000,0.5,26006,None,4
261,45,F,3,6000000,Business,850,90765,0.17494378501235167,1599516,MF_Stocks,1
262,62,F,3,757451,Salaried,707,10000,0.36553790935362823,498499,Stocks,2
263,32,F,2,2518066,Salaried,796,12706,0.36963687882965157,33062,MF_Stocks,1
264,42,F,3,1695307,Salaried,657,10000,0.05,411313,Stocks,0
265,53,F,1,2144456,Self-employed,807,10000,0.2025056348691889,479341,None,3
266,48,M,1,1369641,Self-employed,790,10000,0.27792492150402043,307693,Insurance,2
267,47,M,2,510594,Salaried,638,10000,0.4251179796885998,41154,MF_Stocks,2
268,47,M,2,1662702,Salaried,777,25840,0.12881614630854452,531379,MF_Stocks,1
269,38,M,2,1797181,Business,782,36224,0.13007255481603866,848499,Stocks,0
270,36,M,2,388426,Self-employed,773,10000,0.43243638461393225,35441,Stocks,1
271,51,M,2,5184649,Business,695,10000,0.5,255799,MF,2
272,51,M,3,2306049,Self-employed,822,10000,0.21051692415797926,1749245,None,1
273,53,F,2,2450341,Salaried,606,40433,0.19164652771930116,1081231,Insurance,1
274,55,M,3,972987,Salaried,700,10000,0.17685155064821556,660496,MF_Stocks,1
275,42,F,3,2743171,Self-employed,711,10000,0.11687423010743854,94706,Insurance,1
276,42,M,1,2337625,Salaried,817,10000,0.1284961890263684,1218953,MF,0
277,50,F,1,1519846,Salaried,603,10000,0.24294921287791987,698327,MF,0
278,45,F,2,1539089,Salaried,724,10000,0.267221278930807,231865,MF,2
279,47,M,3,1093068,Business,650,10000,0.5,142031,Stocks,3
280,50,M,1,1146535,Salaried,710,10000,0.25826915845124265,157918,MF,3
281,54,M,1,992986,Salaried,739,10000,0.1980715788843773,227712,Insurance,2
282,38,M,3,2491637,Self-employed,572,10000,0.31559084018701566,580593,None,1
283,38,F,2,882462,Business,826,10000,0.2713462726320586,361414,None,2
284,31,F,1,1533416,Business,742,19673,0.12450450088438848,173075,Stocks,3
285,44,M,1,748472,Salaried,614,10000,0.5,6585,None,4
286,29,M,3,1424302,Salaried,665,10000,0.3758703208863128,134820,None,2
287,41,M,3,2606944,Salaried,849,68501,0.11897487177577619,732554,Insurance,1
288,43,M,1,804378,Business,741,10000,0.09786944439952373,396883,Stocks,1
289,36,F,2,2137982,Salaried,603,10000,0.5,174922,Insurance,4
290,44,M,3,2556938,Self-employed,621,10000,0.12682965170344132,817362,Stocks,1
291,29,M,3,1416974,Salaried,762,10000,0.3881325528133388,201436,Stocks,2
292,29,M,3,3347333,Salaried,774,10000,0.5,75609,Insurance,1
293,51,M,2,1692055,Salaried,736,10000,0.2539672127831288,39125,MF_Stocks,0
294,38,F,3,3425024,Self-employed,670,46349,0.08956966107868088,160491,MF,2
295,32,M,2,4113209,Business,780,18048,0.14261035238842942,1263623,Insurance,0
296,42,F,1,1051956,Self-employed,668,12336,0.2377985864850429,486507,MF_Stocks,0
297,49,F,3,2784363,Salaried,614,42809,0.5,49422,MF_Stocks,2
298,34,M,2,971819,Self-employed,850,10000,0.3258288032422722,80299,Stocks,3
299,45,M,3,993426,Self-employed,748,10000,0.5,563059,MF,0
300,31,F,1,971836,Salaried,621,31231,0.5,252250,MF,1
301,29,F,3,736043,Business,713,10000,0.36216030062842686,76856,MF,1
302,42,F,1,692718,Salaried,702,10000,0.3306096182125859,165963,Stocks,1
303,43,M,2,2175177,Business,665,10000,0.16274910717397517,217042,MF,0
304,45,O,1,918031,Self-employed,723,10000,0.46280887287812533,38897,MF,0
305,48,M,2,2421960,Salaried,607,10000,0.23932045638384508,342,None,1
306,60,F,3,2410301,Salaried,787,10000,0.18423242495153888,830677,Insurance,1
307,42,F,2,4597814,Salaried,699,82209,0.5,692031,None,1
308,37,M,1,1588723,Salaried,539,44793,0.05808721931836744,741588,MF,2
309,50,F,2,3129431,Salaried,677,22587,0.5,1274733,Insurance,1
310,36,M,3,2221393,Self-employed,638,36407,0.5,20436,Stocks,2
311,40,F,2,1798289,Salaried,400,10000,0.29478498723326624,333860,None,4
312,30,M,1,2175494,Salaried,684,10000,0.05,226162,None,1
313,28,F,1,1582155,Business,803,10000,0.5,949817,None,2
314,59,M,3,2271798,Salaried,689,68478,0.17443685000386958,2000000,Insurance,2
315,52,F,2,1839641,Business,770,10000,0.0555386297127295,127488,Insurance,0
316,47,M,1,1756556,Salaried,700,10000,0.4446171420880541,102864,MF,1
317,39,M,3,1189136,Self-employed,654,10000,0.102755280658808,47402,Stocks,3
318,33,M,2,921080,Salaried,626,16594,0.1448708613702065,530477,MF,3
319,33,F,1,2622747,Self-employed,571,10000,0.31722646300679647,387730,Stocks,1
320,35,M,3,5308031,Self-employed,792,10000,0.35587318962859643,338854,MF_Stocks,2
321,43,F,2,873647,Business,773,10000,0.4579494893010896,79692,MF,0
322,47,M,2,1051031,Salaried,672,10000,0.26628102210073706,136388,None,0
323,46,F,2,3094203,Salaried,497,56514,0.2034591574773671,2000000,Stocks,2
324,36,M,3,2403956,Business,747,11629,0.05,1356990,MF,1
325,58,M,1,2093103,Salaried,609,49998,0.35200115285790823,355233,MF,1
326,48,M,1,2197099,Salaried,714,16462,0.272334387155653,1100566,None,1
327,43,M,1,1061999,Salaried,545,10000,0.30668767224008175,72586,Insurance,1
328,44,M,3,2236687,Salaried,709,10000,0.2976749394117413,418696,Insurance,0
329,40,M,2,1735534,Salaried,686,10000,0.08600846249674365,662284,Stocks,0
330,35,F,2,857858,Salaried,459,12544,0.16052679495369276,39431,Insurance,2
331,38,F,1,1414792,Salaried,850,10000,0.1794174921748284,259888,MF_Stocks,2
332,49,F,2,3346603,Salaried,667,10000,0.10844466304432773,360138,None,2
333,28,M,3,1355106,Salaried,674,20744,0.4511597295296728,506905,Stocks,3
334,32,F,2,1536744,Self-employed,753,25788,0.05944754584134372,754957,None,2
335,29,M,3,1887247,Business,694,10000,0.3938175501459356,68164,Stocks,1
336,29,F,2,1153843,Salaried,736,16116,0.5,463475,MF_Stocks,2
337,52,M,3,2888631,Self-employed,585,47452,0.23122279895072706,752868,Insurance,2
338,47,M,1,845673,Business,685,10000,0.4919511249779887,1397562,MF_Stocks,0
339,41,M,2,3343637,Self-employed,509,20135,0.12279841546204441,376436,Stocks,0
340,31,F,3,2459974,Business,676,70616,0.29412685996763327,352783,None,1
341,41,M,3,1026844,Salaried,844,10000,0.4398151328157517,201102,None,4
342,41,F,1,3336737,Self-employed,549,10000,0.29424671792258533,1321206,MF_Stocks,0
343,33,M,2,1563508,Self-employed,664,12969,0.49772481566245014,254044,MF,1
344,40,F,1,773436,Salaried,487,10000,0.28636551802519516,40394,Stocks,1
345,39,F,3,3451416,Self-employed,700,10000,0.29526057100666075,1534834,MF_Stocks,2
346,45,M,2,2082599,Salaried,746,10000,0.5,127694,Insurance,1
347,45,M,2,534532,Salaried,738,12718,0.24425629632543458,19498,MF_Stocks,1
348,29,F,1,780845,Salaried,639,10000,0.08848163092941992,102139,Stocks,4
349,38,M,3,2090077,Self-employed,485,42687,0.5,446289,Stocks,3
350,45,M,2,423616,Self-employed,575,10000,0.4513131091132812,187443,Insurance,2
