symbol,company_name,sector,market_cap,market_cap_class,current_price,beta,volatility_30d,volatility_90d,open,high,low,close,volume,return_1m,return_3m,return_6m,return_1y,return_3y,dividend_yield,risk_bucket,last_updated,ticker,ticker_yf
TMPV.NS,Tata Motors Passenger Vehicles Limited,Infrastructure,2538744053760,Large Cap,344.85,0.728,,,347.45,347.45,343.05,344.85,2692951,-7.47,-15.03,-15.03,-15.03,-15.03,173.0,Low,2025-12-15 11:20:19,TMPV,TMPV.NS
JIOFIN.NS,Jio Financial Services Limited,Financial Services,1894824542208,Large Cap,298.25,0.958,19.56,17.49,299.0,300.4,297.55,298.25,1732446,-4.41,-5.42,1.55,-12.91,32.91,17.0,Medium,2025-12-15 11:20:20,JIOFIN,JIOFIN.NS
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,3298987081728,Large Cap,2066.2,0.261,26.56,20.95,2079.9,2080.8,2061.0,2066.2,150438,-0.64,-0.68,3.19,23.1,42.63,5.0,Medium,2025-12-15 11:20:21,BAJAJFINSV,BAJAJFINSV.NS
MAXHEALTH.NS,Max Healthcare Institute Limited,Pharma,1043779158016,Large Cap,1072.8,0.13,23.89,25.51,1081.3,1081.5,1064.5,1072.8,538561,-4.35,-7.41,-12.45,-8.02,96.14,14.0,Low,2025-12-15 11:20:22,MAXHEALTH,MAXHEALTH.NS
JSWSTEEL.NS,JSW Steel Limited,Metals,2715868200960,Large Cap,1111.9,0.605,23.43,20.65,1120.1,1122.6,1110.0,1111.9,472480,-5.41,-0.3,11.53,10.85,62.05,25.0,Low,2025-12-15 11:20:23,JSWSTEEL,JSWSTEEL.NS
BAJAJ-AUTO.NS,Bajaj Auto Limited,Automobile,2483961724928,Large Cap,8896.0,0.724,13.82,18.28,9040.0,9042.5,8895.0,8896.0,115495,-0.55,-1.95,7.38,1.77,107.5,233.0,Low,2025-12-15 11:20:24,BAJAJ-AUTO,BAJAJ-AUTO.NS
HDFCLIFE.NS,HDFC Life Insurance Company Limited,Financial Services,1656019484672,Large Cap,767.45,0.56,17.84,17.64,772.5,775.5,766.5,767.45,754331,-0.36,-0.89,-0.57,22.83,30.79,27.0,Low,2025-12-15 11:20:25,HDFCLIFE,HDFCLIFE.NS
EICHERMOT.NS,Eicher Motors Limited,Automobile,1954382086144,Large Cap,7125.0,0.075,20.34,18.62,7200.0,7210.5,7107.5,7125.0,158998,4.79,2.85,35.13,50.12,100.93,97.0,Low,2025-12-15 11:20:26,EICHERMOT,EICHERMOT.NS
M&M.NS,Mahindra & Mahindra Limited,Automobile,4344767840256,Large Cap,3620.5,0.393,17.81,24.5,3632.0,3665.4,3616.1,3620.5,589246,-3.06,0.35,21.36,18.98,181.64,69.0,Low,2025-12-15 11:20:27,M&M,M&M.NS
ONGC.NS,Oil and Natural Gas Corporation Limited,Energy,2924015779840,Large Cap,232.38,0.257,14.65,13.58,238.0,238.79,229.94,232.4,7013194,-6.31,1.28,-5.14,-3.91,70.51,767.0,Medium,2025-12-15 11:20:30,ONGC,ONGC.NS
^NSMIDCP,NIFTY NEXT 50,Others,0,Unknown,0.0,1.0,11.49,11.2,68431.3,68433.9,68060.85,68394.2,0,-2.0,0.29,2.11,-6.36,66.77,0.0,Low,2025-12-15 11:20:31,NIFTY NEXT 50,^NSMIDCP
ENRIN.NS,Siemens Energy India Limited,Infrastructure,1054081089536,Large Cap,2959.9,1.0,29.9,27.24,2905.0,2999.0,2903.6,2959.9,259609,-10.2,-12.59,-2.86,-2.86,-2.86,0.14,Low,2025-12-15 11:20:32,ENRIN,ENRIN.NS
BRITANNIA.NS,Britannia Industries Limited,FMCG,1451510726656,Large Cap,6024.5,0.532,18.77,21.09,5915.5,6046.0,5857.0,6024.5,107410,3.33,-2.87,9.61,26.41,32.76,127.0,Low,2025-12-15 11:20:33,BRITANNIA,BRITANNIA.NS
IOC.NS,Indian Oil Corporation Limited,Energy,2353022107648,Large Cap,166.63,0.807,14.57,18.66,165.17,166.99,162.45,166.63,19194948,-3.75,14.93,20.15,20.32,113.62,489.0,Low,2025-12-15 11:20:34,IOC,IOC.NS
ADANIGREEN.NS,Adani Green Energy Limited,Energy,1728169246720,Large Cap,1048.8,0.806,24.45,37.39,1044.7,1058.7,1038.9,1048.8,1431659,-3.66,6.17,7.29,-13.89,7.27,0.0,High,2025-12-15 11:20:35,ADANIGREEN,ADANIGREEN.NS
BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,Others,1228948242432,Large Cap,11024.0,-0.14,41.25,31.91,10905.0,11031.0,10830.0,11024.0,20805,-9.07,-18.09,-19.49,-1.53,56.75,119.0,Medium,2025-12-15 11:20:36,BAJAJHLDNG,BAJAJHLDNG.NS
SIEMENS.NS,Siemens Limited,Others,1131930189824,Large Cap,3178.3,0.354,26.57,23.57,3142.1,3182.5,3100.1,3178.3,340646,-1.68,-4.09,-4.31,-31.36,53.59,38.0,Medium,2025-12-15 11:20:37,SIEMENS,SIEMENS.NS
AMBUJACEM.NS,Ambuja Cements Limited,Cement,1367652696064,Large Cap,553.2,-0.15,14.37,16.63,547.75,556.3,542.95,553.2,776015,-1.27,-3.56,0.42,-2.89,32.23,36.0,Medium,2025-12-15 11:20:38,AMBUJACEM,AMBUJACEM.NS
ADANIENSOL.NS,Adani Energy Solutions Limited,Energy,1222425182208,Large Cap,1017.6,0.741,21.47,28.29,1014.4,1020.0,1007.05,1017.6,366701,-0.39,21.56,17.55,28.57,35.64,0.0,Medium,2025-12-15 11:20:39,ADANIENSOL,ADANIENSOL.NS
GODREJCP.NS,Godrej Consumer Products Limited,FMCG,1185940504576,Large Cap,1159.0,0.227,16.85,20.28,1153.0,1160.9,1144.1,1159.0,138365,0.58,-5.31,-2.23,6.06,13.59,173.0,Medium,2025-12-15 11:20:40,GODREJCP,GODREJCP.NS
PIDILITIND.NS,Pidilite Industries Limited,Chemicals,1508557586432,Large Cap,1482.3,0.326,12.17,14.57,1480.0,1483.0,1468.4,1482.3,152343,0.46,-3.56,-1.11,-6.43,15.52,68.0,Low,2025-12-15 11:20:41,PIDILITIND,PIDILITIND.NS
BPCL.NS,Bharat Petroleum Corporation Limited,Energy,1592448516096,Large Cap,367.05,0.94,22.73,22.07,365.1,369.45,361.1,367.05,2621087,-1.92,17.73,21.59,28.36,133.21,411.0,Low,2025-12-15 11:20:42,BPCL,BPCL.NS
HAL.NS,Hindustan Aeronautics Limited,Defence,2888037826560,Large Cap,4318.4,0.439,24.44,20.62,4252.0,4328.3,4252.0,4318.4,391453,-9.94,-10.78,-14.15,-6.36,183.92,93.0,Medium,2025-12-15 11:20:43,HAL,HAL.NS
ADANIPOWER.NS,Adani Power Limited,Energy,2790495354880,Large Cap,144.7,0.36,23.11,52.62,144.49,145.45,142.29,144.7,5209910,-5.6,13.52,29.61,34.02,189.81,0.0,High,2025-12-15 11:20:47,ADANIPOWER,ADANIPOWER.NS
JSWENERGY.NS,JSW Energy Limited,Energy,843735498752,Mid Cap,483.1,-0.324,27.26,23.79,484.1,487.7,478.9,483.1,1714506,-8.44,-10.55,-4.02,-29.22,93.06,41.0,Medium,2025-12-15 11:20:51,JSWENERGY,JSWENERGY.NS
CANBK.NS,Canara Bank,Banking,1333748563968,Large Cap,147.04,0.563,23.16,23.4,146.11,147.2,146.0,147.04,5323969,-1.39,29.86,34.62,41.68,162.57,273.0,Low,2025-12-15 11:20:53,CANBK,CANBK.NS
HAVELLS.NS,Havells India Limited,Consumer Durables,885303607296,Mid Cap,1411.3,0.316,16.86,18.23,1410.0,1415.9,1398.4,1411.3,215317,-4.67,-12.6,-7.67,-19.21,9.57,71.0,Low,2025-12-15 11:20:55,HAVELLS,HAVELLS.NS
INDHOTEL.NS,The Indian Hotels Company Limited,Hospitality,1046367895552,Large Cap,735.0,-0.363,24.97,21.02,735.0,737.2,727.95,735.0,1568895,1.76,-5.61,-2.58,-11.9,90.23,31.0,Medium,2025-12-15 11:20:57,INDHOTEL,INDHOTEL.NS
HINDZINC.NS,Hindustan Zinc Limited,Metals,2371671556096,Large Cap,561.3,0.538,34.34,30.21,562.1,571.8,555.75,561.3,15578555,16.0,21.43,15.41,14.14,105.59,516.0,Medium,2025-12-15 11:20:59,HINDZINC,HINDZINC.NS
LTIM.NS,LTIMindtree Limited,IT,1861072453632,Large Cap,6280.0,0.382,21.4,20.74,6271.0,6303.5,6233.0,6280.0,46824,7.38,17.29,14.33,-4.59,30.36,107.0,Medium,2025-12-15 11:21:01,LTIM,LTIM.NS
DMART.NS,Avenue Supermarts Limited,Retail,2497708818432,Large Cap,3838.3,0.367,16.6,19.51,3859.9,3859.9,3828.6,3838.3,44526,-4.9,-18.27,-5.44,4.06,10.57,0.0,Low,2025-12-15 11:21:05,DMART,DMART.NS
SHREECEM.NS,Shree Cement Limited,Cement,948100202496,Mid Cap,26250.0,0.145,11.7,16.09,26285.0,26310.0,26025.0,26250.0,1940,-1.61,-10.08,-11.51,-3.23,3.88,61.0,Low,2025-12-15 11:21:06,SHREECEM,SHREECEM.NS
TORNTPHARM.NS,Torrent Pharmaceuticals Limited,Pharma,1280677511168,Large Cap,3784.0,0.131,22.46,17.4,3791.8,3809.9,3752.5,3784.0,54535,-0.93,7.03,16.46,14.81,111.21,84.0,Low,2025-12-15 11:21:07,TORNTPHARM,TORNTPHARM.NS
UNITDSPR.NS,,IT,1051746762752,Large Cap,1443.0,0.176,16.53,17.77,1445.0,1446.9,1429.5,1443.0,105592,0.56,9.71,-2.27,-4.03,2.85,83.0,Low,2025-12-15 11:21:08,UNITDSPR,UNITDSPR.NS
VEDL.NS,Vedanta Limited,Metals,2118627753984,Large Cap,542.5,0.812,22.01,23.81,540.95,547.0,539.35,542.45,3701957,4.16,17.59,24.49,11.45,135.67,947.0,Medium,2025-12-15 11:21:09,VEDL,VEDL.NS
BOSCHLTD.NS,Bosch Limited,Automobile,1079884251136,Large Cap,36580.0,0.445,17.86,19.01,36870.0,36870.0,36385.0,36580.0,1847,-2.32,-7.26,14.86,2.37,105.41,139.0,Low,2025-12-15 11:21:10,BOSCHLTD,BOSCHLTD.NS
VBL.NS,Varun Beverages Limited,FMCG,1617436213248,Large Cap,478.4,-0.12,20.63,27.59,481.0,481.0,474.2,478.25,1120270,3.58,3.32,1.78,-25.79,41.97,42.0,Medium,2025-12-15 11:21:11,VBL,VBL.NS
JINDALSTEL.NS,Jindal Steel Limited,Metals,1043942801408,Large Cap,1026.0,0.638,19.82,23.66,1032.0,1035.0,1023.2,1026.0,157176,-5.0,-2.6,15.38,2.78,99.79,19.0,Medium,2025-12-15 11:21:13,JINDALSTEL,JINDALSTEL.NS
BANKBARODA.NS,Bank of Baroda Limited,Banking,1466938687488,Large Cap,283.6,0.411,20.09,20.72,283.7,284.4,282.4,283.6,1389707,-1.51,17.88,19.14,13.18,67.87,294.0,Medium,2025-12-15 11:21:14,BANKBARODA,BANKBARODA.NS
LODHA.NS,Lodha Developers Limited,Infrastructure,1085531619328,Large Cap,1086.6,0.189,17.66,21.18,1092.0,1092.0,1075.6,1086.6,2009151,-10.96,-9.5,-24.61,-24.1,100.49,39.0,Medium,2025-12-15 11:21:14,LODHA,LODHA.NS
DIVISLAB.NS,Divi's Laboratories Limited,Pharma,1698866135040,Large Cap,6399.5,0.149,17.77,23.46,6410.0,6416.0,6365.5,6399.5,39866,-1.83,4.92,-1.67,8.01,89.35,47.0,Low,2025-12-15 11:21:15,DIVISLAB,DIVISLAB.NS
ICICIGI.NS,ICICI Lombard General Insurance Company Limited,Others,960152797184,Mid Cap,1928.7,0.527,15.57,22.31,1948.0,1948.0,1922.7,1928.7,83886,-5.59,1.17,0.96,-0.98,66.74,67.0,Low,2025-12-15 11:21:16,ICICIGI,ICICIGI.NS
PNB.NS,Punjab National Bank,Banking,1349878677504,Large Cap,117.38,0.463,24.6,23.1,117.3,117.86,116.66,117.38,4991238,-4.57,8.24,14.07,12.02,138.74,246.0,Medium,2025-12-15 11:21:17,PNB,PNB.NS
ABB.NS,ABB India Limited,Infrastructure,1112449220608,Large Cap,5248.0,0.537,20.63,16.78,5288.0,5288.0,5200.5,5248.0,124236,4.1,-1.89,-12.87,-30.91,29.01,82.0,Medium,2025-12-15 11:21:18,ABB,ABB.NS
CGPOWER.NS,CG Power and Industrial Solutions Limited,Infrastructure,1043497680896,Large Cap,662.3,0.171,20.39,22.82,665.9,666.6,657.5,662.3,318515,-11.66,-16.4,-4.58,-15.26,69.42,20.0,Medium,2025-12-15 11:21:19,CGPOWER,CGPOWER.NS
GAIL.NS,GAIL (India) Limited,Others,1115725234176,Large Cap,169.69,0.544,19.85,19.58,170.65,170.65,168.76,169.69,1940132,-8.42,-6.89,-10.4,-13.69,74.29,439.0,Medium,2025-12-15 11:21:20,GAIL,GAIL.NS
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,Defence,986091159552,Mid Cap,2443.2,0.647,25.5,26.76,2458.0,2463.9,2434.8,2443.2,192565,-12.76,-16.81,-25.87,-0.98,519.21,48.0,Medium,2025-12-15 11:21:21,MAZDOCK,MAZDOCK.NS
SOLARINDS.NS,Solar Industries India Limited,Defence,1107055345664,Large Cap,12234.0,-0.216,25.87,24.76,12294.0,12315.0,12200.0,12234.0,14066,-12.05,-16.26,-28.64,14.74,227.14,8.0,Medium,2025-12-15 11:21:22,SOLARINDS,SOLARINDS.NS
TATAPOWER.NS,Tata Power Company Limited,Energy,1211345272832,Large Cap,379.0,0.418,18.05,16.33,380.0,381.45,378.0,379.0,1235469,-3.5,-4.31,-3.74,-12.07,81.02,59.0,Medium,2025-12-15 11:21:24,TATAPOWER,TATAPOWER.NS
IRFC.NS,Indian Railway Finance Corporation Limited,Infrastructure,1477002526720,Large Cap,113.02,0.299,16.25,17.3,113.05,113.38,112.5,113.02,2040628,-7.74,-11.62,-17.31,-29.52,266.57,233.0,Medium,2025-12-15 11:21:25,IRFC,IRFC.NS
TVSMOTOR.NS,TVS Motor Company Limited,Automobile,1719634362368,Large Cap,3620.9,-0.058,19.03,20.97,3651.9,3653.9,3591.5,3620.9,120331,4.19,3.46,30.38,44.07,180.19,27.0,Low,2025-12-15 11:21:26,TVSMOTOR,TVSMOTOR.NS
DLF.NS,DLF Limited,Infrastructure,1716243660800,Large Cap,693.15,0.326,19.81,20.52,695.0,697.0,690.3,693.15,357998,-9.8,-11.9,-18.0,-19.48,49.03,86.0,Medium,2025-12-15 11:21:28,DLF,DLF.NS
ZYDUSLIFE.NS,Zydus Lifesciences Limited,Financial Services,926037114880,Mid Cap,920.3,0.429,14.69,19.58,929.0,929.0,916.1,920.3,168125,-1.55,-11.04,-2.8,-4.68,87.51,118.0,Low,2025-12-15 11:21:29,ZYDUSLIFE,ZYDUSLIFE.NS
BAJAJHFL.NS,,Financial Services,788302856192,Mid Cap,94.65,1.0,22.75,19.45,95.63,96.14,93.81,94.65,4223444,-11.86,-18.35,-21.56,-28.7,-29.42,0.0,Medium,2025-12-15 11:21:29,BAJAJHFL,BAJAJHFL.NS
MOTHERSON.NS,Samvardhana Motherson International Limited,Automobile,1267588530176,Large Cap,120.1,0.945,25.28,28.4,121.03,121.03,119.31,120.1,4106765,9.16,9.29,19.74,9.99,131.89,91.0,Medium,2025-12-15 11:21:31,MOTHERSON,MOTHERSON.NS
LICI.NS,Life Insurance Corporation of India,Financial Services,5424001581056,Large Cap,857.55,0.522,17.13,17.26,864.0,866.15,857.0,857.55,210382,-6.31,-2.83,-8.29,-6.42,48.07,138.0,Low,2025-12-15 11:21:32,LICI,LICI.NS
RECLTD.NS,REC Limited,Others,894722572288,Mid Cap,339.6,0.302,16.85,19.28,341.8,341.8,336.7,339.6,3254253,-6.03,-9.63,-12.25,-36.22,174.28,688.0,Medium,2025-12-15 11:21:33,RECLTD,RECLTD.NS
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,Financial Services,1444086546432,Large Cap,1711.3,0.394,24.74,25.82,1734.0,1734.0,1710.0,1711.3,776354,0.68,8.1,10.09,27.6,63.43,12.0,Low,2025-12-15 11:21:34,CHOLAFIN,CHOLAFIN.NS
PFC.NS,Power Finance Corporation Limited,Others,1120327565312,Large Cap,339.4,0.602,15.93,18.99,344.0,344.0,337.7,339.4,2041832,-8.91,-14.93,-14.18,-30.27,160.43,424.0,Medium,2025-12-15 11:21:36,PFC,PFC.NS
