customerid,age,gender,citytier,annualincome,occupation,creditscore,avgmonthlyspend,savingsrate,investmentamountlastyear,pastinvestments,riskflags,familysize,numchildren,numelders,numadults
33,31.0,M,1,3721630.565211,Salaried,795.0,10000.0,0.16965902177464803,78406.01842773963,MF,0.0,4,2.0,0.0,4.0
34,42.0,M,3,1066938.6703943273,Salaried,747.0,10000.0,0.16435001599872906,920806.1377431996,MF,1.0,5,1.0,0.0,5.0
35,50.0,M,1,1342211.0714372762,Business,695.0,10000.0,0.19766300193214442,165798.25761330823,None,1.0,2,0.0,0.0,2.0
36,40.0,F,2,1777860.4455253214,Business,850.0,10000.0,0.2543277276110766,132283.5606120919,Stocks,2.0,2,0.0,0.0,5.0
37,49.0,M,3,2002398.9488381282,Self-employed,552.5287225480959,41698.37949506246,0.3178976772249163,1547238.2326360664,None,0.0,1,0.0,0.0,1.0
38,41.0,M,2,1612678.0095726857,Business,792.0,10000.0,0.23534866758047088,61513.91288361395,Stocks,3.0,4,0.0,0.0,4.0
39,43.0,F,3,3219231.7989738253,Business,597.0,42063.7170502451,0.2235831970332197,405911.95694086363,Insurance,2.0,5,1.0,0.0,5.0
40,31.0,M,3,1328803.4640223118,Salaried,850.0,10000.0,0.20545281851129651,1338410.5234554494,Stocks,0.0,4,2.0,0.0,4.0
41,36.0,F,2,638628.0859370033,Self-employed,772.0,17411.074133847484,0.18674770109090572,324600.2724770672,MF,1.0,2,0.0,0.0,1.0
42,37.0,M,2,825085.5789460035,Salaried,796.0,10000.0,0.4161501965702469,267004.3895576169,None,1.0,1,2.0,0.0,1.0
43,57.0,M,1,1820264.7245481857,Business,685.9834179517002,10000.0,0.5,597559.9290575053,Insurance,1.0,4,0.0,1.0,4.0
44,57.0,O,1,2470471.725782376,Self-employed,758.0,20130.111652794818,0.11893655004927087,170281.5456605119,Insurance,1.0,3,0.0,0.0,3.0
45,46.0,M,2,342104.0361622054,Salaried,691.0,10000.0,0.14204880303059644,100751.91290362655,Insurance,2.0,6+,2.0,0.0,5.0
46,40.0,M,2,2103370.244079743,Salaried,546.4976380962457,10000.0,0.33390237259993094,481491.09606959583,MF_Stocks,1.0,4,1.0,0.0,2.0
47,54.0,M,3,2611877.950582507,Business,816.4878406742122,10000.0,0.5,1766999.644452029,Insurance,1.0,5,0.0,0.0,2.0
48,43.0,M,1,726571.743435467,Business,767.6911737759222,10000.0,0.3974297913704815,31185.57996181119,MF,0.0,1,0.0,0.0,3.0
49,43.0,M,1,613619.7890525595,Salaried,645.0,10000.0,0.4597466191226683,196603.19913563016,MF,1.0,3,0.0,0.0,3.0
50,32.0,F,3,2769964.6467523035,Self-employed,630.9543683288687,10000.0,0.2148435425747666,501341.2937709295,None,0.0,1,1.0,0.0,1.0
51,40.0,M,1,1209098.8875457656,Salaried,637.0,19617.573713303864,0.18606077721049485,1280714.43336226,Stocks,1.0,2,0.0,0.0,1.0
52,33.0,F,2,1717945.6074577475,Salaried,661.3587733903729,10000.0,0.05,622912.8298691886,None,0.0,5,0.0,0.0,2.0
53,34.0,M,3,3912277.6282520047,Salaried,607.8933345132195,49614.22736806237,0.08698638080744184,1806437.7595493235,None,1.0,4,0.0,0.0,4.0
54,48.0,M,3,858559.8960442672,Business,547.6861590351076,10000.0,0.43533957325713907,18746.86532631674,None,1.0,3,0.0,0.0,3.0
55,30.0,M,2,708592.3223446638,Business,654.0,10000.0,0.17915231386812214,44598.89840384231,Stocks,3.0,4,0.0,0.0,4.0
56,33.0,M,2,1240263.4758521968,Salaried,670.0,18118.01856758857,0.1641164627505589,254282.86839345912,Insurance,3.0,5,1.0,0.0,5.0
57,59.0,F,2,3465794.8011445203,Self-employed,523.4037234453012,10000.0,0.5,1271733.3728054871,MF,0.0,4,0.0,0.0,4.0
58,37.0,F,2,2039532.2258204264,Salaried,671.6364669404487,55768.53980823577,0.5,114654.46667040547,MF_Stocks,1.0,3,0.0,0.0,2.0
59,36.0,F,3,589591.9172893072,Salaried,646.0963672243003,10000.0,0.43961791026936664,45008.545302378334,MF,2.0,3,2.0,0.0,1.0
60,32.0,M,3,2363859.5323144966,Salaried,680.0,42761.68199079474,0.3294923847054578,1444697.403322472,MF,1.0,1,2.0,0.0,1.0
61,37.0,F,3,1666746.3553647671,Self-employed,659.0249957351061,10000.0,0.28588705484335925,78727.74054567852,MF,1.0,1,2.0,0.0,1.0
62,37.0,M,1,426008.6109674802,Salaried,748.0,10000.0,0.08366486540668414,26092.344090471786,None,2.0,5,1.0,0.0,2.0
63,36.0,M,2,1513458.9552679502,Salaried,661.0,45971.919657425664,0.398460755979503,1134043.2738139047,None,1.0,5,1.0,0.0,5.0
64,33.0,M,3,521616.25673512876,Self-employed,733.0,10000.0,0.2085354851054914,92231.04770083517,Insurance,0.0,1,2.0,0.0,1.0
65,44.0,M,2,5236688.191658167,Salaried,755.0,24063.66682759857,0.13413352487089306,1265856.247983453,Stocks,0.0,4,0.0,0.0,3.0
66,39.0,M,2,1038641.4050819521,Salaried,654.5280731616945,46343.98578203089,0.29020397457162994,216007.0942369634,Stocks,1.0,2,1.0,0.0,1.0
67,46.0,M,2,653880.2399152588,Salaried,680.3906741724852,10000.0,0.2247724380643831,322392.06013139064,MF,2.0,4,1.0,0.0,4.0
68,44.0,M,2,1533681.8742952684,Salaried,589.2692148880615,42399.728002353666,0.3724743510842829,240926.77864726097,Stocks,1.0,6+,0.0,0.0,5.0
69,30.0,F,3,1254067.8823983949,Salaried,697.0,10000.0,0.43822933580487006,779440.5993224303,MF_Stocks,2.0,1,2.0,0.0,1.0
70,55.0,M,3,3630633.6791178873,Salaried,849.0,10000.0,0.1846413692185005,106851.87384979561,MF,1.0,3,0.0,1.0,2.0
71,41.0,M,2,2524238.627774528,Salaried,722.0,10000.0,0.5,571292.5947409237,MF_Stocks,1.0,4,0.0,0.0,4.0
72,32.0,M,1,1441805.760473015,Salaried,553.832455367823,10000.0,0.14741359718195998,113880.89061938255,None,1.0,4,0.0,0.0,4.0
73,51.0,F,2,924802.2183966655,Self-employed,840.310274442772,10000.0,0.22596800938944497,130752.139911725,Insurance,0.0,3,0.0,0.0,3.0
74,29.0,M,3,1785247.9559831237,Salaried,694.6938070728182,10000.0,0.19395331238944816,1239984.458196715,None,3.0,5,2.0,0.0,5.0
75,34.0,O,1,1461672.1767006912,Salaried,597.0,10000.0,0.39186889897151433,2000000.0,MF_Stocks,1.0,1,0.0,0.0,1.0
76,31.0,M,1,1011005.7568297449,Self-employed,747.0,10000.0,0.23434569360352128,205410.3279591634,None,2.0,3,2.0,0.0,1.0
77,48.0,F,2,3792583.024175206,Salaried,683.0,13364.153536800184,0.22928970531408632,1115484.7711340245,None,1.0,4,0.0,0.0,2.0
78,47.0,M,2,894805.4611174286,Self-employed,531.6839448982106,10000.0,0.115644743644615,28321.481437814185,Stocks,2.0,3,0.0,0.0,3.0
79,32.0,M,3,1353598.8213186802,Salaried,686.0,24509.92827228296,0.26205968515554723,166416.56588590617,MF_Stocks,2.0,1,0.0,0.0,1.0
80,34.0,F,2,581577.758001518,Self-employed,674.0,10000.0,0.3959512536558079,69351.48321022592,MF,2.0,3,2.0,0.0,1.0
81,49.0,M,2,4455340.102701766,Salaried,802.0,23447.787716547627,0.05,390109.89963016333,Insurance,2.0,1,0.0,0.0,1.0
82,34.0,F,1,1341065.7599110173,Business,710.745455520653,22452.761325097057,0.15224882628430444,40230.51226650863,None,1.0,1,0.0,0.0,1.0
83,30.0,M,1,1550110.3154578093,Salaried,591.0,16318.35523701302,0.10975961454278238,402685.13450911717,MF_Stocks,1.0,4,1.0,0.0,4.0
84,53.0,M,3,2023145.5120670637,Self-employed,573.9960620898681,10000.0,0.5,352345.8692160994,Insurance,1.0,6+,0.0,0.0,6.0
85,50.0,M,2,1372500.3709491019,Self-employed,757.0449606136215,10000.0,0.5,202969.0911813157,Stocks,2.0,4,0.0,0.0,4.0
86,40.0,M,1,507809.936248495,Salaried,487.5411102993116,10000.0,0.19832278866036723,37314.924182516384,MF_Stocks,3.0,2,0.0,0.0,2.0
87,59.0,M,2,877576.388322373,Salaried,589.2905900025902,10000.0,0.16174485745170752,17409.178661313294,Insurance,1.0,4,0.0,0.0,2.0
88,36.0,M,3,2911611.994949499,Salaried,692.0,10000.0,0.4127542011238555,597826.7531192217,Insurance,2.0,3,1.0,0.0,2.0
89,32.0,F,3,2469049.0632250453,Business,615.0,10000.0,0.19902479238339932,111372.05452887753,Insurance,3.0,3,2.0,0.0,3.0
90,38.0,M,3,1937834.8118568063,Salaried,708.0,10000.0,0.3694734173101225,1609690.7192592772,MF,1.0,2,0.0,0.0,5.0
91,33.0,M,1,1959243.3639990068,Salaried,621.0,64242.14178538165,0.06413049227349875,2000000.0,Stocks,1.0,5,1.0,0.0,5.0
92,60.0,O,1,1390708.8470073165,Self-employed,754.0,10000.0,0.21222495530776736,72421.82190970225,Stocks,0.0,3,0.0,0.0,2.0
93,36.0,M,3,2395740.8927757987,Salaried,526.8704600225512,20583.678246361564,0.429221698743205,562833.422602278,Stocks,4.0,6+,0.0,0.0,2.0
94,49.01754680472347,F,3,810165.0542105956,Business,740.0,10000.0,0.31697316824138994,1470103.883374109,Insurance,2.0,2,0.0,0.0,2.0
95,30.0,F,1,643056.7308172797,Salaried,749.4573199272666,10000.0,0.48274263169126164,50418.1018050942,None,2.0,4,1.0,0.0,3.0
96,39.0,F,3,1079056.9041943487,Salaried,654.0,13668.2711496729,0.11191572156868024,67238.25138543571,MF,1.0,1,0.0,0.0,1.0
97,51.0,F,1,822661.9697500921,Self-employed,630.6622978901821,10000.0,0.1535947074516292,70094.21688626097,None,1.0,3,1.0,0.0,2.0
98,32.0,M,2,2087396.621599068,Salaried,780.0,42658.9458156783,0.0849424803860865,862615.9965105313,None,1.0,3,0.0,0.0,3.0
99,44.0,F,3,4923395.368516523,Salaried,675.0,57829.255279550474,0.12594029337033275,1700399.3935106862,None,1.0,3,1.0,0.0,1.0
100,36.0,F,3,924468.3852598161,Business,474.46287832659544,10000.0,0.4129120941332773,180945.20028525576,Insurance,0.0,4,0.0,0.0,4.0
101,28.0,F,3,3704125.5385755384,Self-employed,755.1897677897589,10000.0,0.19882162755424163,2000000.0,Insurance,4.0,3,0.0,0.0,1.0
102,30.0,M,1,993418.8431833752,Self-employed,548.0190540750181,17815.44807230193,0.08446832867019412,6486.877233964638,Stocks,1.0,1,0.0,0.0,1.0
103,45.0,F,3,1392069.8835784928,Salaried,756.0,10000.0,0.5,69529.0113386111,Stocks,1.0,4,1.0,0.0,4.0
104,28.0,F,2,580530.8313106395,Self-employed,691.0,10000.0,0.20984432285985094,496234.5535917305,MF_Stocks,0.0,4,2.0,0.0,4.0
105,58.0,F,1,963159.1115743013,Salaried,651.0,10000.0,0.4356629271110409,257257.0872605981,Insurance,2.0,2,0.0,1.0,2.0
106,42.0,M,2,491512.0190941191,Self-employed,601.0273275936829,10000.0,0.14840691575532938,31816.81075988058,MF,1.0,6+,0.0,0.0,2.0
107,37.0,M,3,379299.9790566427,Salaried,814.5803798257344,10000.0,0.42219652337374014,106994.17128283148,MF,3.0,5,2.0,0.0,5.0
108,56.0,M,3,1380807.5337375693,Salaried,704.9565272451376,10000.0,0.5,622555.4860040107,None,1.0,6+,0.0,0.0,6.0
109,35.0,M,3,991682.0224556265,Salaried,607.7321225776883,45791.55144777851,0.5,167417.14654589252,Stocks,1.0,1,0.0,0.0,1.0
110,56.0,M,2,1727210.8307848782,Salaried,850.0,38668.719631325854,0.3670494081338009,979651.550519776,Stocks,1.0,4,0.0,1.0,4.0
111,30.0,M,3,4147499.4117416004,Self-employed,602.0,46525.534818320404,0.1792536566079175,2000000.0,MF,1.0,3,1.0,0.0,2.0
112,44.0,M,2,3372528.275589188,Salaried,736.0,50404.686908112904,0.40729545631338865,714656.9222469013,MF_Stocks,1.0,4,0.0,0.0,4.0
113,34.0,M,1,2396746.0435195933,Salaried,743.0,47347.86947887403,0.26389031338473284,2000000.0,None,1.0,2,2.0,0.0,1.0
114,30.0,M,1,1783384.7866794846,Business,850.0,10000.0,0.1237815919366674,240305.77019888948,Stocks,1.0,4,0.0,0.0,3.0
115,60.0,M,1,4942375.689803226,Salaried,798.4151342110482,10000.0,0.45834811268603315,1337358.443733232,MF,1.0,1,0.0,0.0,2.0
116,32.0,M,3,950943.1080007096,Business,774.0,10000.0,0.12217227316322644,510751.985494144,MF_Stocks,3.0,3,1.0,0.0,1.0
117,40.0,M,3,758569.5558073975,Salaried,850.0,10000.0,0.09283392744016575,125507.78110571546,MF,2.0,3,0.0,0.0,5.0
118,54.0,M,2,2608748.7136278413,Salaried,765.598921909687,59356.24232249059,0.16467743900738532,390839.0104407001,MF,2.0,1,0.0,0.0,1.0
119,33.0,O,3,1301523.5439409527,Salaried,592.0,10000.0,0.2183532465761441,70833.57194947293,MF_Stocks,0.0,1,1.0,0.0,1.0
120,37.0,F,1,3395602.7708319887,Salaried,695.122464944277,17674.70368325483,0.08999694279838955,119955.92466038116,MF_Stocks,2.0,1,0.0,0.0,1.0
121,32.0,M,2,997538.6641361776,Business,751.0,10000.0,0.1791762364653701,189130.98632316044,Stocks,2.0,5,2.0,0.0,5.0
122,49.0,M,2,971766.2132245036,Salaried,671.7273715675193,35528.01977932489,0.1712595057784459,363454.55167192075,None,3.0,1,1.0,0.0,1.0
123,32.0,M,2,2698709.518737892,Business,672.0,10000.0,0.3438804537572557,66922.26417171741,MF_Stocks,0.0,6+,0.0,0.0,3.0
124,53.0,F,2,2691907.6502512977,Self-employed,600.0,10000.0,0.28341181129948695,341907.80512070766,Insurance,4.0,1,0.0,0.0,2.0
125,55.35073486642273,M,2,3514486.6788932295,Salaried,715.0,20729.90450331141,0.18337545480570094,1916310.6644817283,Insurance,0.0,3,0.0,2.0,3.0
126,58.0,M,2,1541676.8001573374,Salaried,720.0,11349.51762505702,0.05,948541.1346199244,MF_Stocks,2.0,4,0.0,1.0,3.0
127,38.0,M,2,2145262.214006173,Salaried,718.0,49432.953137491706,0.370274478465079,743813.0397128273,None,0.0,1,1.0,0.0,1.0
128,31.0,F,1,843312.1386911613,Salaried,827.8357918344336,16823.259393567685,0.05,198582.0963500067,Insurance,1.0,1,1.0,0.0,1.0
129,30.0,F,2,1434133.4625406943,Business,601.0,10000.0,0.15527339157844353,7182.133685560581,Stocks,1.0,5,1.0,0.0,5.0
130,28.0,M,1,566022.7227445503,Salaried,581.0,10000.0,0.25074282593231295,109640.90326757803,MF,1.0,5,1.0,0.0,5.0
131,31.0,F,3,422000.06109846814,Self-employed,554.0453449818635,10000.0,0.34668724521922206,146531.20306944256,MF,1.0,1,2.0,0.0,1.0
132,47.0,M,1,2014185.494549606,Self-employed,727.0,55203.057469035484,0.2134715382138554,927239.7285342519,MF_Stocks,0.0,4,0.0,2.0,4.0
133,36.0,F,2,1309745.6697124862,Business,769.0,10000.0,0.22954022426117102,30323.784441958956,Stocks,3.0,3,0.0,0.0,3.0
134,56.0,O,2,3198838.2111589923,Salaried,788.0,10000.0,0.419056286640468,2000000.0,Stocks,1.0,3,0.0,0.0,3.0
135,33.0,F,2,2556509.5284953318,Salaried,807.0,49960.391028391685,0.22592057422024342,320444.4622744196,Stocks,1.0,5,0.0,0.0,2.0
136,58.0,M,1,1041992.9728368885,Business,701.4834106337336,16822.933594327238,0.4488202530483957,122833.17259790841,MF_Stocks,1.0,6+,0.0,0.0,4.0
137,38.0,F,2,613891.4513604968,Salaried,614.0,10000.0,0.5,228031.59222480445,MF_Stocks,0.0,1,1.0,0.0,1.0
138,40.0,F,1,579241.7797454261,Salaried,730.0,10000.0,0.14480482622538418,31516.44971833645,MF_Stocks,0.0,2,1.0,0.0,1.0
139,39.0,F,3,4338463.08526947,Salaried,600.837785736965,35491.36253889246,0.19852323625559462,1309979.2085726506,MF,3.0,2,1.0,0.0,4.0
140,53.0,F,2,1044167.2172659854,Salaried,609.0,17113.624207649144,0.2415034010473049,359638.0145699429,MF,2.0,3,0.0,0.0,2.0
141,52.0,M,3,1572327.6807354975,Salaried,697.7174542418812,10000.0,0.31568439176476115,345635.6856358476,MF,3.0,4,0.0,0.0,3.0
142,34.0,F,2,2745045.457905494,Salaried,678.1654301759083,20399.159767983212,0.15287034947405134,266577.9974443477,MF_Stocks,1.0,1,2.0,0.0,1.0
143,31.0,F,3,1618677.1627999302,Salaried,687.0,18066.935283768024,0.16880813773369055,561381.6458140721,Stocks,4.0,1,1.0,0.0,1.0
144,59.0,M,1,1372683.511925726,Business,553.572621462345,10000.0,0.3942800627204289,296288.3529446784,None,1.0,4,0.0,1.0,4.0
145,39.0,O,2,2651702.6235014433,Salaried,850.0,17096.648576970674,0.38649260852326495,29641.65033012885,Stocks,4.0,5,0.0,0.0,2.0
146,56.0,M,2,1666110.897679582,Self-employed,462.26283553229945,10000.0,0.13426912694328993,1340009.5029522493,Insurance,0.0,6+,0.0,0.0,3.0
147,35.0,M,2,3248881.3397857537,Salaried,541.4519613043044,10000.0,0.37092525445326824,102136.39827979283,Insurance,2.0,6+,0.0,0.0,6.0
148,42.0,M,1,438189.4554497728,Business,549.6579797946835,10000.0,0.09133136615793787,14673.976861545714,Insurance,1.0,5,0.0,0.0,5.0
149,38.888253812415385,M,1,462746.26181779284,Business,701.0,17868.95445056027,0.23768660497763675,557286.7224589328,MF,0.0,1,1.0,0.0,2.0
150,47.0,F,3,4268649.781251017,Business,550.3881576001115,10000.0,0.08288284944203331,1637383.150900005,Insurance,1.0,1,0.0,0.0,1.0
151,37.0,M,2,1260374.8189945659,Salaried,651.0,17093.25211843258,0.1790818831476899,165529.50946635447,Insurance,2.0,5,1.0,0.0,5.0
152,49.0,M,2,1337643.5228163148,Salaried,668.0,26108.41336211868,0.5,1382523.8995621672,MF_Stocks,1.0,5,1.0,0.0,5.0
153,32.0,M,1,749174.3336497115,Salaried,678.0,16156.476497987003,0.37523077850444725,284281.4743993934,None,3.0,3,0.0,0.0,1.0
154,62.0,M,1,2923983.504124048,Self-employed,608.2553005997224,10000.0,0.07781813996019911,539652.5372508279,MF_Stocks,0.0,3,0.0,2.0,3.0
155,42.6344974653707,F,1,1313762.0856689983,Salaried,693.0,10000.0,0.367771610084925,567685.8474567739,None,0.0,2,0.0,0.0,2.0
156,33.0,F,2,862660.717023069,Salaried,680.0,10000.0,0.4557472246350777,137248.8168818534,MF,4.0,5,1.0,0.0,5.0
157,41.0,F,3,442272.86695130763,Self-employed,619.0,10000.0,0.2726130271430447,30684.06530595111,MF_Stocks,1.0,3,0.0,0.0,3.0
158,42.0,M,1,2086075.7485193168,Salaried,666.0,10000.0,0.44583655230198177,915997.3159012989,MF_Stocks,0.0,4,1.0,0.0,4.0
159,29.0,M,1,1804994.5231988274,Salaried,620.0,16285.593617922672,0.21411316611752484,205298.32862087025,Insurance,2.0,1,1.0,0.0,1.0
160,51.0,M,2,1628859.1725885274,Salaried,655.5252650210274,17113.30512642778,0.31482181312185414,10635.975736775437,Stocks,1.0,5,0.0,0.0,5.0
161,61.0,M,1,774890.3668864799,Salaried,662.0,10000.0,0.40814119500232854,60925.567144554574,None,2.0,1,0.0,0.0,1.0
162,47.0,M,3,2055046.8112918898,Salaried,642.0,10000.0,0.5,1266784.7839266928,MF,4.0,4,0.0,0.0,4.0
163,48.0,M,2,634527.4241575619,Business,734.0,10000.0,0.2855270438722115,49097.62728775584,Stocks,3.0,4,0.0,0.0,4.0
164,43.0,M,2,3462224.6573861204,Self-employed,667.2315437204554,20779.163417930577,0.13000884075544167,1047192.6190991326,Insurance,2.0,1,0.0,0.0,1.0
165,60.73022041277436,F,1,3476370.2218737407,Salaried,623.0,20886.60077830632,0.08242144668822872,1668099.5440550796,None,2.0,2,0.0,2.0,1.0
166,33.0,M,1,1396345.123151354,Business,645.6118954676887,19119.16286489731,0.338385916732868,185494.38925587165,MF,1.0,3,0.0,0.0,2.0
167,38.0,F,2,1422233.2522100522,Self-employed,670.0,10000.0,0.2241321393359782,135584.0374942629,None,3.0,1,2.0,0.0,1.0
168,39.0,M,3,1188338.0361963662,Business,562.0,10000.0,0.24224974856277123,149474.27750295808,Insurance,1.0,1,0.0,0.0,5.0
169,34.0,F,1,2528445.3301560795,Salaried,534.6218048005497,10000.0,0.22875559114504188,1900768.6859382943,Stocks,4.0,4,0.0,0.0,4.0
170,50.0,F,3,1171445.9257251166,Self-employed,757.0,10000.0,0.10388792028626227,438746.0602774791,Insurance,3.0,2,0.0,2.0,2.0
171,48.0,F,1,2357681.2945320727,Salaried,668.4481526914043,10000.0,0.3612343093250393,1750185.9213962227,Stocks,1.0,4,1.0,1.0,4.0
172,43.0,M,3,708651.814890943,Salaried,688.060480293714,19682.062387398528,0.19802064907876693,39644.90345569009,Stocks,1.0,2,0.0,0.0,2.0
173,53.0,M,3,1907694.5542019613,Self-employed,585.0,10000.0,0.5,419415.8571543019,MF,3.0,4,0.0,0.0,4.0
174,45.0,M,3,993699.4284704702,Salaried,684.0692838029971,10000.0,0.05,60225.795183314985,MF_Stocks,3.0,6+,1.0,0.0,5.0
175,57.0,F,1,725106.7837553087,Salaried,649.1940536703783,10000.0,0.1628709365357135,42875.93205232903,Insurance,4.0,2,0.0,0.0,1.0
176,38.0,M,2,2301991.819756061,Salaried,644.0,10000.0,0.4253646367799391,33450.107874994246,MF,2.0,3,0.0,0.0,3.0
177,39.0,F,1,979345.989985072,Salaried,548.24904451034,23728.061642251003,0.40419145260920814,434356.7933700251,MF_Stocks,0.0,1,0.0,0.0,3.0
178,51.0,O,1,936913.2047526422,Salaried,689.0,10000.0,0.5,123087.23478525765,Stocks,2.0,3,0.0,1.0,3.0
179,42.0,M,2,2334473.840972028,Salaried,723.0,40232.53550066157,0.30417322310528194,1009009.1197348906,MF,1.0,5,1.0,0.0,5.0
180,40.0,M,2,1872739.9874171354,Salaried,767.0,13030.909125965554,0.43836853759259414,95468.11835623762,Stocks,2.0,2,2.0,0.0,2.0
181,33.0,F,3,779708.5444152551,Business,692.0,10000.0,0.2704934352043525,1297.013645914399,Insurance,3.0,6+,2.0,0.0,2.0
182,51.0,M,3,5634247.06051382,Salaried,601.0,10000.0,0.05,961361.9357581949,Stocks,1.0,6+,0.0,0.0,6.0
183,36.0,M,1,499255.26639988244,Self-employed,777.0,10000.0,0.489004051455792,287837.3247186949,MF,1.0,3,1.0,0.0,3.0
184,54.0,F,1,856022.8264421487,Salaried,577.6927516293522,10000.0,0.22507617509938682,161343.0815610262,Insurance,2.0,6+,0.0,0.0,6.0
185,39.0,F,2,1809474.2850857894,Self-employed,567.9917551416509,14498.934319809201,0.5,83784.16889074017,None,1.0,3,2.0,0.0,2.0
186,54.0,M,1,431470.6311969267,Salaried,667.8476833534853,10000.0,0.06803004776588154,174841.3176868474,None,1.0,2,0.0,0.0,2.0
187,46.0,F,3,1760479.6543498985,Salaried,702.0,10000.0,0.31090949330651524,1263229.412867623,MF,0.0,3,0.0,0.0,3.0
